,sound,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
477,sounds/asr-spanish-v1-carlfm01/audios\0129363d-e228-4682-ac0c-6c5bd560981f.wav,18,1,3.71,3.71,4.8517520215633425,5.545286506469501,0.18033333333333335
478,sounds/asr-spanish-v1-carlfm01/audios\012994ee-7491-40ca-997c-1353122dddff.wav,32,2,7.39,7.39,4.330175913396482,4.915514592933949,0.20343749999999997
479,sounds/asr-spanish-v1-carlfm01/audios\0129e080-f895-4d50-b68a-607e91b16c82.wav,25,1,5.49,5.49,4.553734061930783,4.820671037408407,0.20743999999999999
480,sounds/asr-spanish-v1-carlfm01/audios\012a1ee0-c2a6-4d3d-a9f0-24bb172cbdde.wav,12,0,2.58,2.58,4.651162790697675,4.651162790697675,0.215
481,sounds/asr-spanish-v1-carlfm01/audios\012a3f06-85f0-4183-9f59-0c03a2067f34.wav,13,1,3.03,3.03,4.29042904290429,5.003849114703619,0.19984615384615384
482,sounds/asr-spanish-v1-carlfm01/audios\012a5b9a-f455-42ab-ba95-cd5ff516b411.wav,18,1,4.47,4.47,4.026845637583893,4.422604422604423,0.22611111111111107
483,sounds/asr-spanish-v1-carlfm01/audios\012ac50b-8be6-42cf-8188-aaa8cd2af891.wav,18,0,3.47,3.47,5.187319884726224,5.187319884726224,0.1927777777777778
484,sounds/asr-spanish-v1-carlfm01/audios\012b87a0-12e6-45d7-9f76-b1bf3d765004.wav,14,0,3.02,3.02,4.635761589403973,5.196733481811433,0.19242857142857142
485,sounds/asr-spanish-v1-carlfm01/audios\012c56fd-0e29-467a-b54d-400087d3c5e4.wav,7,0,1.72,1.72,4.069767441860465,4.069767441860465,0.24571428571428572
486,sounds/asr-spanish-v1-carlfm01/audios\012d95f7-2f0f-4361-b888-58172ce29c99.wav,32,2,6.94,6.94,4.610951008645533,5.322687957418496,0.18787500000000001
487,sounds/asr-spanish-v1-carlfm01/audios\012e8366-b5b3-4a24-bad7-76236ffa2476.wav,44,2,8.51,8.51,5.170387779083431,5.992917461182239,0.16686363636363635
488,sounds/asr-spanish-v1-carlfm01/audios\012e8e9d-5ffb-4f34-bcab-67caedd4fa37.wav,9,1,2.49,2.49,3.614457831325301,4.147465437788019,0.2411111111111111
489,sounds/asr-spanish-v1-carlfm01/audios\012f1c7d-8593-4774-9673-5528c2ab41ce.wav,12,0,2.62,2.62,4.580152671755725,4.580152671755725,0.21833333333333335
490,sounds/asr-spanish-v1-carlfm01/audios\013032e0-4cad-4fb9-bce8-6c6813750574.wav,13,0,2.54,2.54,5.118110236220472,5.118110236220472,0.19538461538461538
491,sounds/asr-spanish-v1-carlfm01/audios\01303fb3-9425-4620-8d37-c09e84e5f943.wav,9,0,1.98,1.98,4.545454545454546,4.545454545454546,0.22
492,sounds/asr-spanish-v1-carlfm01/audios\01308b02-0d4b-4c93-a151-2a6cfa8ce67d.wav,9,0,2.25,2.25,4.0,4.0,0.25
493,sounds/asr-spanish-v1-carlfm01/audios\0132198e-b15d-4755-8cb6-b87dad503205.wav,13,0,2.84,2.84,4.577464788732395,4.577464788732395,0.21846153846153846
494,sounds/asr-spanish-v1-carlfm01/audios\01331c60-5090-4669-b8ff-c4d870a6382d.wav,13,0,2.94,2.94,4.421768707482993,4.421768707482993,0.22615384615384615
495,sounds/asr-spanish-v1-carlfm01/audios\0133aa08-f05f-485e-addc-b555a3f91750.wav,3,0,0.93,0.93,3.225806451612903,3.225806451612903,0.31
496,sounds/asr-spanish-v1-carlfm01/audios\0134988b-0ddc-48ba-9fd0-be0929ee5fa0.wav,38,2,8.24,8.24,4.611650485436893,5.549065420560748,0.18021052631578946
497,sounds/asr-spanish-v1-carlfm01/audios\01361995-909c-41af-9ca6-e761f0ea8bce.wav,6,0,1.92,1.92,3.125,3.125,0.32
498,sounds/asr-spanish-v1-carlfm01/audios\0136adbb-36d3-40eb-88a6-33181aab5166.wav,14,1,3.04,3.04,4.605263157894737,5.993150684931506,0.16685714285714287
499,sounds/asr-spanish-v1-carlfm01/audios\01388395-d8a3-4bf7-a149-cd4ee0f506a8.wav,16,0,3.77,3.77,4.244031830238727,4.244031830238727,0.235625
500,sounds/asr-spanish-v1-carlfm01/audios\0139b8ca-dcbd-439b-b37b-8428392c4cbd.wav,26,1,5.32,5.32,4.887218045112782,5.425709515859766,0.18430769230769234
501,sounds/asr-spanish-v1-carlfm01/audios\013b1489-6e5f-4ff3-b10d-5b9c389c191c.wav,21,0,3.34,3.34,6.287425149700599,6.287425149700599,0.15904761904761905
502,sounds/asr-spanish-v1-carlfm01/audios\013c4a04-55e2-4803-9ff3-6f06b33608c1.wav,18,0,3.21,3.21,5.607476635514018,5.607476635514018,0.17833333333333334
503,sounds/asr-spanish-v1-carlfm01/audios\013ddb93-c9ef-4936-8e91-68a919709ee3.wav,10,0,2.16,2.16,4.62962962962963,4.62962962962963,0.21600000000000003
504,sounds/asr-spanish-v1-carlfm01/audios\013e794d-b2e2-4f58-807f-0cd2e99f2f3d.wav,30,1,6.07,6.07,4.942339373970346,5.460502366217693,0.18313333333333331
505,sounds/asr-spanish-v1-carlfm01/audios\013fe293-5f37-4860-bb04-4ef714dc35f6.wav,29,1,5.33,5.33,5.440900562851782,5.844417573559049,0.17110344827586205
506,sounds/asr-spanish-v1-carlfm01/audios\01415169-4a8e-4c7d-b7fc-fca395d2b476.wav,13,0,2.52,2.52,5.158730158730159,5.158730158730159,0.19384615384615383
507,sounds/asr-spanish-v1-carlfm01/audios\0141c79b-2cd9-4f55-880d-368305b8a204.wav,10,0,2.24,2.24,4.4642857142857135,4.4642857142857135,0.22400000000000003
508,sounds/asr-spanish-v1-carlfm01/audios\014287dd-b078-413b-99f5-2a72fd881263.wav,12,0,2.26,2.26,5.3097345132743365,5.3097345132743365,0.18833333333333332
509,sounds/asr-spanish-v1-carlfm01/audios\014294e8-9113-4b6e-ac9b-029080d734b8.wav,10,0,1.86,1.86,5.376344086021505,5.376344086021505,0.186
510,sounds/asr-spanish-v1-carlfm01/audios\01430d03-33e9-4d1d-bd27-1f420d1c75a0.wav,13,0,2.57,2.57,5.0583657587548645,5.0583657587548645,0.19769230769230767
